,periodo,norm_diff,norm_diff_prom,El Niño,La Niña
571,1976-08,-0.33931456292363943,0.20786622352389608,0,0
572,1976-09,0.4075096753469017,0.13054114728870647,0,0
573,1976-10,0.7028103725286096,0.16626756232639073,0,0
574,1976-11,0.1176022041567846,0.14494914965756922,0,0
575,1976-12,0.039118030940201914,0.1020840860248976,0,0
576,1977-01,-0.5877104782588326,0.05666920696500435,0,0
577,1977-02,-0.9784195348902349,-0.04984828836276156,0,0
578,1977-03,-0.04711443154804436,-0.12561897284525259,0,0
579,1977-04,-0.04092248376531672,-0.2495744488942403,0,0
580,1977-05,-0.6979606100259961,-0.38550158459137046,-1,0
581,1977-06,-0.024105782982237676,-0.396038886911777,-1,0
582,1977-07,0.03474583565999587,-0.2922961679253056,0,0
583,1977-08,0.1980848889975723,-0.09621209727733772,0,0
584,1977-09,0.8017750903981089,0.04526948971368783,0,0
585,1977-10,0.032673456290295895,0.05753547972295659,0,0
586,1977-11,0.5242652129045275,0.2612397835447105,0,0
587,1977-12,-0.21635553585518638,0.22919815806588575,0,0
588,1978-01,-1.2048682829939352,0.022595804956897243,0,0
589,1978-02,-0.2265949020609576,-0.04818416021952441,0,0
590,1978-03,0.3225688155045594,-0.12805187270178267,0,0
591,1978-04,0.6512896765307284,-0.024949169328377246,0,0
592,1978-05,0.14460428118328267,-0.08822599128191806,0,0
593,1978-06,0.223095795829784,-0.014984102667756322,0,0
594,1978-07,-0.1093469468921817,0.16760278668253592,0,0
595,1978-08,-0.1303625859119926,0.18364150604069676,0,0
596,1978-09,0.13177244219992412,0.15184211048992421,0,0
597,1978-10,-0.029835731226026046,0.03832120919713179,0,0
598,1978-11,-0.584610166754407,-0.08321453212581649,0,0
599,1978-12,0.10928964713751649,-0.10218222357452773,0,0
600,1979-01,-0.11476725316032178,-0.1030856079525511,0,0
601,1979-02,-0.26296676662184654,-0.12518630473752676,0,0
602,1979-03,0.4496800692209876,-0.07220170023401618,0,0
603,1979-04,0.5627180079574478,0.026557256296562793,0,0
604,1979-05,0.370679315394061,0.18577216998797416,0,0
605,1979-06,0.8599132022472324,0.31087609583959347,0,0
606,1979-07,0.04062398712773886,0.3367746358876036,0,0
607,1979-08,1.0298964642694055,0.5522518410361456,0,1
608,1979-09,0.04683410961274989,0.48511084776810603,0,1
609,1979-10,1.2586295269403898,0.6010961009319297,0,1
610,1979-11,0.8508270479951424,0.6811207230321098,0,1
611,1979-12,0.2588782358430433,0.5809482286314117,0,1
612,1980-01,-0.32896333651995413,0.5193503413567963,0,1
613,1980-02,0.39746353082221436,0.41394485244893103,0,1
614,1980-03,-0.918368679309518,0.25307772096188635,0,0
615,1980-04,-0.5051549795268863,-0.040886363449326314,0,0
616,1980-05,-0.42307492952909126,-0.2532033597033652,0,0
617,1980-06,0.8240640461008942,-0.15900572466039012,0,0
618,1980-07,-0.6615697375925401,-0.21444012483915445,0,0
619,1980-08,0.012836498087695119,-0.27854463029490767,0,0
620,1980-09,-0.04293378783508024,-0.13263881504916802,0,0
621,1980-10,-0.0052612997652953485,-0.049323201755569535,0,0
622,1980-11,-0.49577036678499575,-0.06143910796488695,0,0
623,1980-12,0.08088014206850655,-0.1853030919702849,0,0
624,1981-01,-0.4772063550160992,-0.15457586154087807,0,0
625,1981-02,-0.3129311415370662,-0.20887046814500496,0,0
626,1981-03,-0.8015200544136699,-0.33530151257476987,0,0
627,1981-04,0.8688266289309309,-0.18962019112539888,0,0
628,1981-05,1.274785522432637,0.10547245707753994,0,0
629,1981-06,0.04068987255354368,0.09877407882504613,0,0
630,1981-07,-0.3333962115468625,0.12274243606991893,0,0
631,1981-08,0.38984241327818253,0.2398713618724604,0,0
632,1981-09,-0.09663269809534288,0.3573525879255149,0,1
633,1981-10,0.18762003691125984,0.24381815592223632,0,0
634,1981-11,0.2973430086153993,0.08091107028603009,0,0
635,1981-12,0.09361451096322083,0.08973184335430962,0,0
636,1982-01,0.6679522822459584,0.2566232589864464,0,0
637,1982-02,0.6591555369051911,0.30150877959094785,0,0
638,1982-03,0.3303531324870774,0.3726730846880179,0,1
639,1982-04,0.9644317629535618,0.5021417056950682,0,1
640,1982-05,0.1594009432980637,0.4791513614755123,0,1
641,1982-06,-0.7175890966450668,0.34395076020746435,0,0
642,1982-07,-0.06957218849417428,0.22103001508410894,0,0
643,1982-08,-0.272146714529626,0.06581297317830608,0,0
644,1982-09,-0.16596874017812752,-0.01690733893256141,0,0
645,1982-10,0.21915301156103026,-0.14112046416465,0,0
646,1982-11,-0.2517850820466024,-0.209651468388761,0,0
647,1982-12,0.052785724891950735,-0.08125566479925812,0,0
648,1983-01,-0.2864375268833698,-0.11739988786412403,0,0
649,1983-02,0.07254511601204158,-0.05995124944051278,0,0
650,1983-03,0.11644373674953082,-0.01288250328590305,0,0
651,1983-04,0.6734524042518321,0.06283406216256392,0,0
652,1983-05,-0.1611596346525584,0.07793830339490458,0,0
653,1983-06,-0.6255791447684996,-0.03512250821517047,0,0
654,1983-07,-0.07895866801764803,-0.0005426984042168395,0,0
655,1983-08,-0.6511957894677249,-0.1211661826508446,0,0
656,1983-09,-0.7671823013024027,-0.2684371889928335,0,0
657,1983-10,-0.4548083282139283,-0.4564806444037936,-1,0
658,1983-11,-0.9130405658473767,-0.5817941329362633,-1,0
659,1983-12,0.19200187933429289,-0.4455306289191312,-1,0
660,1984-01,0.528186908335345,-0.3443396995269657,0,0
661,1984-02,0.5399705873205556,-0.1458119700622523,0,0
662,1984-03,-0.26010079327803864,-0.06129838539152494,0,0
663,1984-04,-0.22224164882641725,-0.0225372721602731,0,0
664,1984-05,0.029550359772248933,0.13456121544299784,0,0
665,1984-06,0.6019664758342306,0.20288864819298746,0,0
666,1984-07,0.03626772251512702,0.12090211722295112,0,0
667,1984-08,0.7318135127265177,0.15287593812394482,0,0
668,1984-09,0.6398931149498839,0.30287492282859857,0,0
669,1984-10,-0.44178378405042873,0.26628456695792996,0,0
670,1984-11,-0.009383949792184165,0.25979551536385775,0,0
671,1984-12,-0.47732622127789637,0.0799133991785033,0,0
672,1985-01,-0.05548329196904934,0.06462156343114057,0,0
673,1985-02,-1.0971587236073173,-0.24020714262449858,0,0
674,1985-03,-0.288340951461518,-0.3949128203597323,-1,0
675,1985-04,-0.3722825730538458,-0.3833292851936351,-1,0
676,1985-05,0.23000877025482772,-0.34343049851913315,0,0
677,1985-06,-0.23448390193180638,-0.30295677862811815,0,0
678,1985-07,-0.1139524870564879,-0.3127016444760245,0,0
679,1985-08,0.08798975801796227,-0.11517689753847794,0,0
680,1985-09,0.8182246217534882,0.06925069799735642,0,0
681,1985-10,0.41802449298203775,0.20096854233667036,0,0
682,1985-11,-0.15291224472494205,0.1371483731733754,0,0
683,1985-12,0.009011181504040998,0.17773088707934995,0,0
684,1986-01,-0.014538125484047218,0.19429994734142342,0,0
685,1986-02,1.0485883879107905,0.35439971899022815,0,1
686,1986-03,-0.2048822555620345,0.18388190610430769,0,0
687,1986-04,-0.25528590662756384,0.07166350616937407,0,0
688,1986-05,-0.17200943060879972,0.0684806418553978,0,0
689,1986-06,0.6898974420106188,0.18196168527316078,0,0
690,1986-07,-0.08264806847765309,0.17061002810755976,0,0
691,1986-08,-0.34522011081447074,-0.061691388346650444,0,0
692,1986-09,0.2463323021829827,0.013511037944185752,0,0
693,1986-10,0.909977376219981,0.20772158508544322,0,0
694,1986-11,0.14291508028718106,0.26020900356810667,0,0
695,1986-12,-0.8031049760838693,0.01137526721902532,0,0
696,1987-01,-0.17919564870366514,-0.004715996151976686,0,0
697,1987-02,-0.495003325340814,-0.029679865239700554,0,0
698,1987-03,-0.5845958611188143,-0.16816789245666675,0,0
699,1987-04,-0.4593454642794647,-0.396388365873241,-1,0
700,1987-05,0.13767444164365605,-0.3972618056471619,-1,0
701,1987-06,-0.7910585647225177,-0.3952540704202699,-1,0
702,1987-07,0.38508220369146584,-0.3012077616877481,0,0
703,1987-08,-0.1692666014732947,-0.24691830770982817,0,0
704,1987-09,0.33544125760389515,-0.09357878792270995,0,0
705,1987-10,0.6566226225047408,0.09241589320799097,0,0
706,1987-11,-0.3025286712823776,0.01904870772031871,0,0
707,1987-12,-0.31021717077062,0.09918894004563499,0,0
708,1988-01,-0.4415416065174595,-0.0385816949891859,0,0
709,1988-02,0.0735415495434438,0.001886330180270517,0,0
710,1988-03,-1.0611670464172551,-0.23088172048992117,0,0
711,1988-04,-0.24248663450200295,-0.38073326332437846,-1,0
712,1988-05,-0.5047242221100597,-0.4144325217956588,-1,0
713,1988-06,0.6481681813659794,-0.2547016297728923,0,0
714,1988-07,0.33577681813919685,-0.1251485589967829,0,0
715,1988-08,0.6673704870911579,-0.026177069405497206,0,0
716,1988-09,0.8580361930802679,0.29369013717742326,0,0
717,1988-10,0.4304044736349779,0.4058386552002535,0,1
718,1988-11,0.5243831583477412,0.5773565519432202,0,1
719,1988-12,0.7597515569570008,0.5959537812083905,0,1
720,1989-01,-0.15490507731481484,0.5141734652993886,0,1
721,1989-02,0.037294589131028975,0.40916081563936707,0,1
722,1989-03,0.5251765030107961,0.3536842006277885,0,1
723,1989-04,-1.0517836152210263,0.10665285248512106,0,0
724,1989-05,0.19537378023964164,0.05181795613377115,0,0
725,1989-06,-0.20851555491708199,-0.10955989584524266,0,0
726,1989-07,0.13876437036480382,-0.06061498789863954,0,0
727,1989-08,-0.3993032299771923,-0.13338129108334307,0,0
728,1989-09,0.1838649117400459,-0.19026655629513475,0,0
729,1989-10,-0.41684132956911335,-0.08444284201981599,0,0
730,1989-11,-0.380952675771951,-0.18049725135508143,0,0
731,1989-12,0.08600312456420006,-0.13141080477486775,0,0
732,1990-01,0.12420821259920516,-0.1338368310691342,0,0
733,1990-02,0.637796634548556,0.039013146351823846,0,0
734,1990-03,0.10040523691944327,0.025103200548390076,0,0
735,1990-04,0.3089840658485311,0.14607409978466415,0,0
736,1990-05,0.1842674892096962,0.2402774606149387,0,0
737,1990-06,-0.39474946237112574,0.16015202945905105,0,0
738,1990-07,-0.09107505573509232,0.12427148473666816,0,0
739,1990-08,-0.13153350683999668,-0.003950205494757285,0,0
740,1990-09,-0.6973021892539674,-0.13690144319032574,0,0
741,1990-10,0.6388303720334045,-0.08192705882618016,0,0
742,1990-11,-0.08313283669045692,-0.12649377980953902,0,0
743,1990-12,0.6090380353153111,0.040804136471533796,0,0
744,1991-01,-0.36552038606957105,-0.004936751917545991,0,0
745,1991-02,-0.548530259933497,-0.07443621076646272,0,0
746,1991-03,0.9152534246968377,0.19432305822533813,0,0
747,1991-04,-0.2551721197263952,0.04532264293203816,0,0
748,1991-05,-0.07045173944178286,0.0474361591401505,0,0
749,1991-06,-0.3566831803290856,-0.11351737680058227,0,0
750,1991-07,0.3486470711866975,0.005510532742129148,0,0
751,1991-08,0.325226980659602,0.15113673950764564,0,0
752,1991-09,-0.02663800746404669,-0.0058451658525017465,0,0
753,1991-10,-0.6343480819142403,-0.06904115955047593,0,0
754,1991-11,0.49119323109330765,0.024566335538705814,0,0
755,1991-12,0.12262239818467653,0.10445059862433285,0,0
756,1992-01,-0.0466091257734961,0.0385745657976339,0,0
757,1992-02,-0.224796331937146,-0.0530959863018241,0,0
